Core,Coring device,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,%(1) or Raw(2),
OD-041-04,,84.029,11.2383,-3344,North Atlantic,0.14,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.2,3.1,0,,,0,0,0,0,,0,0,,0,0,0,0,0.7,,,0,0,,,,1,100
OD-041-04,,84.029,11.2383,-3344,North Atlantic,0.15,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,99.1,0.7,0,,,0,0,0,0,,0,0,,0,0,0,0,0.1,,,0,0,,,,1,100
PS2446-4,,82.397,40.9083,-2022,North Atlantic,3.1,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.7,2.3,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS2446-4,,82.397,40.9083,-2022,North Atlantic,3.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.3,1.7,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS2446-4,,82.397,40.9083,-2022,North Atlantic,3.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.6,2.4,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS1533-3,,82.032,15.1908,-2026,North Atlantic,0.73,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,1.3,0,0,0,0,0.2,95.4,3,0,,,0,0,0,0,,0,0,,0,0,0,0,0.1,,,0,0,,,,1,100
PS1533-3,,82.032,15.1908,-2026,North Atlantic,0.79,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,1.5,0,0,0,0,0,96.3,2.2,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS2876-1,,81.759,-9.4355,-1976,North Atlantic,0.17,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.9,3,0,,,0,0,0,0,,0,0,,0,0,0,0,0.1,,,0,0,,,,1,100
PS2876-1,,81.759,-9.4355,-1976,North Atlantic,0.27,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.8,2.5,0,,,0,0,0,0,,0,0,,0,0,0,0,0.6,,,0,0,,,,1,99.9
PS2876-1,,81.759,-9.4355,-1976,North Atlantic,0.61,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.7,4.3,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS2876-1,,81.759,-9.4355,-1976,North Atlantic,0.83,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.3,3.6,0,,,0,0,0,0,,0,0,,0,0,0,0,0.1,,,0,0,,,,1,100
PS2138-1,,81.535,30.5933,-862,North Atlantic,1.72,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.9,2.8,0,,,0,0,0,0,,0,0.3,,0,0,0,0,0,,,0,0,,,,1,100
PS2138-1,,81.535,30.5933,-862,North Atlantic,1.92,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.2,96.4,3.4,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS2138-1,,81.535,30.5933,-862,North Atlantic,2.13,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.6,98,1.4,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS2138-1,,81.535,30.5933,-862,North Atlantic,2.23,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.7,1.3,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS2129-1,,81.367,17.4717,-861,North Atlantic,0.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.6,2.1,0,,,0,0,0,0,,0,0,,0,0,0,0,0.3,,,0,0,,,,1,100
PS2129-1,,81.367,17.4717,-861,North Atlantic,0.4,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0.2,0,0,0,0,0,96.9,2.3,0,,,0,0,0,0,,0,0,,0,0,0,0,0.6,,,0,0,,,,1,100
PS2837-5,,81.233,2.3817,-1023,North Atlantic,3.89,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.8,1.8,0,,,0,0,0,0,,0,0,,0,0,0,0,0.4,,,0,0,,,,1,100
PS2837-5,,81.233,2.3817,-1023,North Atlantic,3.95,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.3,2.4,0,,,0,0,0,0,,0,0,,0,0,0,0,0.3,,,0,0,,,,1,100
PS2837-5,,81.233,2.3817,-1023,North Atlantic,3.97,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.8,2.2,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
PS2887-1,,79.6,-4.6077,-1411,North Atlantic,0.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.7,3.2,0,,,0,0,0,0,,0,0,,0,0,0,0,0.1,,,0,0,,,,1,100
PS2887-1,,79.6,-4.6077,-1411,North Atlantic,0.52,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.7,2.3,0,,,0,0,0,0,,0,0,,0,0,0,0,0,,,0,0,,,,1,100
